timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:14:33,5008,616,3004,2937,5008,0,0,0,5016,928,4614,4611
2024-09-22 13:14:34,5008,608,3044,2990,5016,0,0,0,5016,912,4574,4592
2024-09-22 13:14:35,5024,576,2929,2959,5024,0,0,0,5024,888,4541,4566
2024-09-22 13:14:36,5024,600,3014,2986,5024,0,0,0,5032,896,4508,4537
2024-09-22 13:14:37,5008,624,3160,3073,5008,0,0,0,5016,944,4735,4636
2024-09-22 13:14:38,5016,600,3044,3058,5016,0,0,0,5016,920,4614,4625
2024-09-22 13:14:39,5024,600,3014,3036,5024,0,0,0,5032,896,4508,4566
2024-09-22 13:14:40,5032,568,2858,2947,5032,0,0,0,5032,872,4387,4476
2024-09-22 13:14:41,5024,560,2813,2880,5024,0,0,0,5032,880,4421,4448
2024-09-22 13:14:42,5008,600,3004,2942,5008,0,0,0,5016,920,4614,4531
2024-09-22 13:14:43,5008,600,3004,2973,5016,0,0,0,5024,912,4581,4556
2024-09-22 13:14:44,5056,464,2349,2661,5072,0,0,0,5080,704,3535,4045
2024-09-22 13:14:45,5008,576,2884,2772,5016,0,0,0,5016,928,4614,4329
2024-09-22 13:14:46,5016,592,2969,2870,5016,0,0,0,5024,896,4501,4415
2024-09-22 13:14:47,5024,592,2974,2922,5032,0,0,0,5048,832,4166,4290
2024-09-22 13:14:48,5016,600,3009,2965,5024,0,0,0,5024,904,4541,4415
2024-09-22 13:14:49,5016,600,3009,2987,5024,0,0,0,5024,904,4541,4478
2024-09-22 13:14:50,5040,552,2782,2884,5040,0,0,0,5048,816,4078,4278
2024-09-22 13:14:51,5008,592,2964,2924,5016,0,0,0,5016,912,4574,4426
2024-09-22 13:14:52,5000,624,3120,3022,5008,0,0,0,5016,936,4694,4560
2024-09-22 13:14:53,5008,616,3084,3053,5016,0,0,0,5016,928,4654,4607
2024-09-22 13:14:54,5032,560,2813,2933,5032,0,0,0,5032,864,4347,4477
2024-09-22 13:14:55,5016,576,2929,2931,5024,0,0,0,5024,888,4461,4469
2024-09-22 13:14:56,5008,600,3004,2967,5008,0,0,0,5016,928,4654,4561
2024-09-22 13:14:57,5008,592,2964,2965,5016,0,0,0,5016,920,4614,4587
2024-09-22 13:14:58,5032,504,2536,2750,5032,0,0,0,5032,848,4267,4427
2024-09-22 13:14:59,5000,600,3000,2875,5008,0,0,0,5008,936,4694,4560
2024-09-22 13:15:00,5000,592,2960,2917,5008,8,40,20,5008,944,4727,4643
2024-09-22 13:15:01,5008,600,3004,2960,5008,0,0,10,5008,960,4887,4765
2024-09-22 13:15:02,5016,584,2924,2942,5016,0,0,5,5016,936,4662,4713
2024-09-22 13:15:03,5080,296,1544,2243,5080,0,0,2,5072,688,3530,4121
2024-09-22 13:15:04,5024,544,2733,2488,5024,0,0,1,5024,888,4461,4291
2024-09-22 13:15:05,5008,584,2924,2706,5008,0,0,0,5008,936,4654,4472
2024-09-22 13:15:06,5008,616,3084,2895,5008,0,0,0,5016,936,4694,4583
2024-09-22 13:15:07,5016,600,3009,2952,5016,0,0,0,5024,904,4541,4562
2024-09-22 13:15:08,5016,592,2969,2960,5024,0,0,0,5024,896,4501,4531
2024-09-22 13:15:09,5120,256,1269,2114,5120,0,0,0,5128,528,2707,3619
2024-09-22 13:15:10,5040,520,2584,2349,5048,0,0,0,5056,768,3889,3754
2024-09-22 13:15:11,5048,424,2140,2244,5048,0,0,0,5048,792,3998,3876
2024-09-22 13:15:12,5016,608,3044,2644,5016,0,0,0,5016,912,4614,4245
2024-09-22 13:15:13,5008,616,3084,2864,5016,0,0,0,5016,920,4614,4429
2024-09-22 13:15:14,5008,592,2964,2914,5008,0,0,0,5016,944,4735,4582
2024-09-22 13:15:15,5008,600,3080,2997,5008,0,0,0,5016,960,4815,4698
2024-09-22 13:15:16,5016,592,2969,2983,5016,0,0,0,5024,896,4501,4599
2024-09-22 13:15:17,5160,96,495,1739,5160,0,0,0,5160,392,2022,3310
2024-09-22 13:15:18,5160,104,535,1137,5160,0,0,0,5160,416,2143,2726
2024-09-22 13:15:19,5160,96,495,816,5160,0,0,0,5160,400,2064,2395
2024-09-22 13:15:20,5144,104,534,675,5144,0,0,0,5144,416,2139,2267
2024-09-22 13:15:21,5160,96,495,585,5160,0,0,0,5160,400,2064,2165
2024-09-22 13:15:22,5144,120,617,601,5144,0,0,0,5144,416,2139,2152
2024-09-22 13:15:23,5152,120,618,609,5152,0,0,0,5152,432,2225,2188
2024-09-22 13:15:24,5152,120,659,634,5152,0,0,0,5152,424,2184,2186
2024-09-22 13:15:25,5160,88,495,564,5152,0,0,0,5152,416,2143,2164
2024-09-22 13:15:26,5160,96,495,529,5160,0,0,0,5160,408,2105,2134
2024-09-22 13:15:27,5144,96,493,511,5144,0,0,0,5144,400,2098,2116
2024-09-22 13:15:28,5160,96,494,502,5160,0,0,0,5160,400,2064,2090
2024-09-22 13:15:29,5152,96,494,498,5152,8,41,20,5152,424,2184,2137
2024-09-22 13:15:30,5152,104,535,516,5152,0,0,10,5160,400,2064,2100
2024-09-22 13:15:31,5152,96,535,525,5152,0,0,5,5160,416,2143,2121
2024-09-22 13:15:32,5152,104,577,551,5152,0,0,2,5160,408,2102,2111
2024-09-22 13:15:33,5176,40,207,379,5176,0,0,1,5176,344,1777,1944
2024-09-22 13:15:34,5160,48,247,313,5160,0,0,0,5160,352,1857,1900
2024-09-22 13:15:35,5168,48,248,280,5168,0,0,0,5168,344,1777,1838
2024-09-22 13:15:36,5168,32,206,243,5160,0,0,0,5160,360,1857,1847
2024-09-22 13:15:37,5168,64,330,286,5168,0,0,0,5168,360,1860,1853
2024-09-22 13:15:38,5168,56,289,287,5168,0,0,0,5168,360,1860,1856
2024-09-22 13:15:39,5168,32,165,226,5168,0,0,0,5168,336,1736,1796
2024-09-22 13:15:40,5168,32,165,195,5168,0,0,0,5168,336,1733,1764
2024-09-22 13:15:41,5168,32,165,180,5168,0,0,0,5168,344,1775,1769
2024-09-22 13:15:42,5176,32,165,172,5168,0,0,0,5168,336,1777,1773
2024-09-22 13:15:43,5176,32,165,168,5176,0,0,0,5176,336,1739,1756
2024-09-22 13:15:44,5168,32,165,166,5168,0,0,0,5168,336,1736,1746
2024-09-22 13:15:45,5176,32,165,165,5168,0,0,0,5176,344,1777,1761
2024-09-22 13:15:46,5168,48,248,206,5168,0,0,0,5168,344,1775,1768
2024-09-22 13:15:47,5176,32,165,185,5176,0,0,0,5176,336,1739,1753
2024-09-22 13:15:48,5168,48,248,216,5168,0,0,0,5168,352,1860,1806
2024-09-22 13:15:49,5168,32,165,190,5168,0,0,0,5168,344,1777,1791
2024-09-22 13:15:50,5168,40,206,198,5168,0,0,0,5168,352,1819,1805
2024-09-22 13:15:51,5168,32,165,181,5168,0,0,0,5168,336,1777,1791
2024-09-22 13:15:52,5176,32,165,173,5176,0,0,0,5176,336,1739,1765
2024-09-22 13:15:53,5176,32,165,169,5176,0,0,0,5176,328,1739,1752
2024-09-22 13:15:54,5176,32,165,167,5168,0,0,0,5168,336,1736,1744
